sampleId	SM_TF	timePoint	IP_tag	control	peakType
AN9013_sCopy_OE_16h_HA_ChIPMix36_1	AN9013	16h	HA	NA	narrow
AN9013_sCopy_OE_16h_HA_ChIPMix55_2	AN9013	16h	HA	NA	narrow
AN9013_sCopy_OE_16h_polII_ChIPMix55_1	AN9013	16h	polII	NA	NA
AN9013_sCopy_OE_16h_polII_ChIPMix60_2	AN9013	16h	polII	NA	NA
apdR_mCopy_OE_16h_FLAG_ChIPMix17_1	AN8414	16h	FLAG	NA	narrow
apdR_mCopy_OE_16h_polII_ChIPMix17_1	AN8414	16h	polII	NA	NA
apdR_sCopy_OE_16h_FLAG_ChIPMix36_2	AN8414	16h	FLAG	NA	narrow
apdR_sCopy_OE_16h_FLAG_ChIPMix64_3	AN8414	16h	FLAG	NA	narrow
apdR_sCopy_OE_16h_polII_ChIPMix55_2	AN8414	16h	polII	NA	NA
areA_del_NF_16h_H3K27Ac_ChIPMix55_1	NA	16h	H3K27Ac	NA	NA
areA_del_NH4_16h_H3K27Ac_ChIPMix55_1	NA	16h	H3K27Ac	NA	NA
cpcA_16h_HA_ChIPMix34_1	NA	16h	HA	NA	narrow
hepA_del_16h_polII_ChIPMix56_2	NA	16h	polII	NA	NA
MH11036_16h_polII_ChIPMix19_1	NA	16h	polII	NA	NA
MH11036_TSA_16h_polII_ChIPMix19_1	NA	16h	polII	NA	NA
MH11036_no_Xyl_16h_polII_ChIPMix56_1	NA	16h	polII	NA	NA
MH11036_16h_polII_ChIPMix55_2	NA	16h	polII	NA	NA
WT_48h_H3K27Ac_ChIPMix56_1	NA	48h	H3K27Ac	NA	NA
WT_16h_input_FLAG_ChIPMix64_1	NA	16h	input_FLAG	NA	NA
WT_16h_input_HA_ChIPMix64_1	NA	16h	input_HA	NA	NA
